pm10,so2,co,o3,no2,kategori
52.0,4.0,14.0,32.0,11.0,2.0
67.0,4.0,26.0,83.0,10.0,2.0
66.0,3.0,32.0,49.0,15.0,2.0
82.0,2.0,23.0,44.0,14.0,2.0
64.0,2.0,63.0,43.0,22.0,2.0
80.0,3.0,55.0,86.0,25.0,2.0
56.0,2.0,37.0,76.0,21.0,2.0
44.0,1.0,28.0,50.0,11.0,3.0
59.0,2.0,57.0,99.0,21.0,2.0
64.0,3.0,33.0,75.0,22.0,2.0
70.0,2.0,31.0,85.0,16.0,2.0
65.0,2.0,34.0,140.0,19.0,1.0
72.0,2.0,46.0,85.0,23.0,2.0
69.0,2.0,35.0,73.0,20.0,2.0
51.0,2.0,31.0,102.0,19.0,1.0
64.0,2.0,38.0,73.0,21.0,2.0
59.0,3.0,34.0,80.0,14.0,2.0
49.0,2.0,21.0,61.0,11.0,2.0
33.0,1.0,20.0,54.0,10.0,2.0
45.0,2.0,33.0,45.0,15.0,3.0
44.0,2.0,32.0,39.0,12.0,3.0
58.0,3.0,29.0,51.0,13.0,2.0
54.0,2.0,42.0,53.0,16.0,2.0
50.0,2.0,25.0,43.0,11.0,3.0
49.0,1.0,25.0,68.0,12.0,2.0
59.0,2.0,28.0,64.0,13.0,2.0
52.0,2.0,24.0,65.0,15.0,2.0
54.0,1.0,31.0,75.0,14.0,2.0
53.0,1.0,33.0,69.0,17.0,2.0
47.0,2.0,21.0,54.0,7.0,2.0
66.0,19.0,27.0,158.0,16.0,1.0
37.0,6.0,12.0,209.0,12.0,0.0
69.0,21.0,57.0,135.0,15.0,1.0
69.0,14.0,33.0,75.0,15.0,2.0
51.0,9.0,27.0,114.0,21.0,1.0
41.0,7.0,20.0,151.0,14.0,1.0
56.0,9.0,47.0,213.0,19.0,0.0
63.0,12.0,29.0,205.0,18.0,0.0
57.0,7.0,17.0,180.0,30.0,1.0
62.0,20.0,28.0,185.0,15.0,1.0
69.0,21.0,25.0,164.0,21.0,1.0
70.0,17.0,24.0,158.0,17.0,1.0
49.0,10.0,22.0,213.0,19.0,0.0
69.0,16.0,28.0,224.0,19.0,0.0
52.0,11.0,28.0,196.0,17.0,1.0
33.0,7.0,14.0,174.0,8.0,1.0
28.0,5.0,17.0,134.0,9.0,1.0
34.0,8.0,19.0,153.0,14.0,1.0
33.0,7.0,17.0,104.0,14.0,1.0
44.0,8.0,23.0,145.0,10.0,1.0
34.0,7.0,21.0,152.0,12.0,1.0
32.0,6.0,16.0,64.0,10.0,2.0
31.0,5.0,14.0,168.0,10.0,1.0
51.0,5.0,18.0,217.0,13.0,0.0
42.0,6.0,15.0,134.0,14.0,1.0
47.0,5.0,14.0,213.0,10.0,0.0
43.0,5.0,16.0,230.0,13.0,0.0
