pm10,so2,co,o3,no2,kategori
55.0,18.0,10.0,53.0,5.0,2.0
58.0,21.0,11.0,71.0,6.0,2.0
48.0,14.0,9.0,49.0,5.0,3.0
36.0,17.0,8.0,52.0,5.0,2.0
48.0,19.0,11.0,68.0,7.0,2.0
52.0,16.0,11.0,84.0,6.0,2.0
63.0,15.0,19.0,90.0,6.0,2.0
60.0,14.0,13.0,119.0,5.0,1.0
87.0,15.0,48.0,95.0,11.0,2.0
50.0,15.0,12.0,75.0,6.0,2.0
63.0,15.0,15.0,130.0,6.0,1.0
67.0,15.0,18.0,98.0,6.0,2.0
59.0,15.0,10.0,92.0,5.0,2.0
56.0,17.0,9.0,65.0,6.0,2.0
53.0,19.0,11.0,89.0,6.0,2.0
70.0,18.0,21.0,160.0,10.0,1.0
67.0,18.0,17.0,164.0,12.0,1.0
66.0,17.0,13.0,91.0,5.0,2.0
47.0,17.0,10.0,82.0,5.0,2.0
65.0,18.0,7.0,84.0,13.0,2.0
75.0,17.0,11.0,77.0,15.0,2.0
71.0,18.0,9.0,65.0,11.0,2.0
61.0,19.0,5.0,61.0,11.0,2.0
67.0,20.0,7.0,70.0,12.0,2.0
70.0,23.0,6.0,55.0,16.0,2.0
65.0,19.0,6.0,72.0,12.0,2.0
64.0,18.0,6.0,58.0,14.0,2.0
54.0,15.0,6.0,65.0,12.0,2.0
58.0,18.0,5.0,47.0,11.0,2.0
60.0,20.0,5.0,34.0,10.0,2.0
68.0,19.0,14.0,49.0,17.0,2.0
53.0,16.0,7.0,41.0,12.0,2.0
40.0,16.0,8.0,43.0,16.0,3.0
58.0,18.0,10.0,29.0,12.0,2.0
50.0,19.0,4.0,44.0,10.0,3.0
52.0,16.0,7.0,52.0,10.0,2.0
52.0,17.0,10.0,66.0,13.0,2.0
65.0,18.0,15.0,39.0,18.0,2.0
54.0,17.0,6.0,40.0,13.0,2.0
46.0,18.0,3.0,41.0,9.0,3.0
58.0,21.0,5.0,42.0,11.0,2.0
63.0,22.0,7.0,53.0,13.0,2.0
55.0,18.0,5.0,44.0,11.0,2.0
57.0,20.0,7.0,53.0,14.0,2.0
52.0,20.0,5.0,66.0,11.0,2.0
55.0,18.0,5.0,52.0,11.0,2.0
57.0,19.0,5.0,48.0,16.0,2.0
59.0,20.0,4.0,54.0,8.0,2.0
56.0,19.0,4.0,58.0,6.0,2.0
57.0,20.0,6.0,68.0,14.0,2.0
69.0,22.0,16.0,90.0,14.0,2.0
78.0,21.0,23.0,102.0,16.0,1.0
76.0,22.0,16.0,88.0,16.0,2.0
67.0,18.0,8.0,73.0,12.0,2.0
71.0,20.0,11.0,81.0,15.0,2.0
72.0,20.0,10.0,65.0,13.0,2.0
65.0,18.0,8.0,69.0,14.0,2.0
63.0,17.0,7.0,61.0,9.0,2.0
54.0,17.0,6.0,58.0,7.0,2.0
58.0,17.0,7.0,58.0,12.0,2.0
61.0,21.0,8.0,58.0,12.0,2.0
72.0,24.0,25.0,58.0,18.0,2.0
50.0,17.0,7.0,51.0,13.0,2.0
30.0,18.0,14.0,49.0,17.0,3.0
69.0,22.0,16.0,48.0,14.0,3.0
52.0,24.0,6.0,57.0,9.0,2.0
56.0,20.0,13.0,52.0,9.0,2.0
54.0,25.0,15.0,69.0,14.0,2.0
69.0,33.0,18.0,51.0,17.0,2.0
51.0,18.0,5.0,54.0,6.0,2.0
53.0,22.0,5.0,54.0,10.0,2.0
63.0,25.0,11.0,57.0,16.0,2.0
69.0,33.0,16.0,61.0,14.0,2.0
60.0,21.0,9.0,68.0,14.0,2.0
66.0,26.0,9.0,59.0,17.0,2.0
63.0,27.0,7.0,67.0,11.0,2.0
57.0,20.0,7.0,65.0,9.0,2.0
74.0,23.0,13.0,56.0,15.0,2.0
62.0,25.0,8.0,59.0,12.0,2.0
61.0,22.0,7.0,70.0,9.0,2.0
65.0,22.0,9.0,84.0,12.0,2.0
60.0,20.0,13.0,77.0,8.0,2.0
73.0,20.0,21.0,76.0,10.0,2.0
66.0,20.0,17.0,78.0,9.0,2.0
59.0,19.0,12.0,84.0,6.0,2.0
68.0,19.0,15.0,62.0,9.0,2.0
74.0,19.0,21.0,103.0,8.0,1.0
67.0,19.0,18.0,91.0,9.0,2.0
62.0,19.0,17.0,63.0,8.0,2.0
52.0,19.0,17.0,69.0,8.0,2.0
53.0,20.0,19.0,76.0,8.0,2.0
61.0,20.0,19.0,55.0,9.0,2.0
60.0,22.0,29.0,67.0,11.0,2.0
55.0,21.0,19.0,57.0,9.0,2.0
38.0,21.0,21.0,51.0,13.0,2.0
43.0,21.0,24.0,50.0,8.0,3.0
46.0,21.0,20.0,68.0,6.0,2.0
48.0,21.0,16.0,53.0,5.0,2.0
56.0,22.0,19.0,71.0,9.0,2.0
60.0,22.0,29.0,82.0,10.0,2.0
57.0,22.0,18.0,64.0,8.0,2.0
46.0,23.0,10.0,55.0,6.0,2.0
56.0,24.0,20.0,55.0,11.0,2.0
65.0,25.0,26.0,80.0,13.0,2.0
55.0,27.0,17.0,52.0,8.0,2.0
54.0,25.0,12.0,58.0,6.0,2.0
49.0,25.0,9.0,73.0,7.0,2.0
51.0,24.0,10.0,65.0,5.0,2.0
58.0,25.0,13.0,58.0,9.0,2.0
50.0,25.0,11.0,61.0,8.0,2.0
55.0,26.0,15.0,70.0,10.0,2.0
56.0,26.0,13.0,86.0,8.0,2.0
91.0,27.0,26.0,90.0,7.0,2.0
95.0,26.0,18.0,84.0,8.0,2.0
73.0,27.0,7.0,69.0,5.0,2.0
86.0,26.0,13.0,81.0,5.0,2.0
88.0,27.0,13.0,72.0,5.0,2.0
81.0,26.0,11.0,97.0,4.0,2.0
79.0,28.0,9.0,70.0,3.0,2.0
74.0,25.0,8.0,66.0,2.0,2.0
81.0,25.0,10.0,62.0,3.0,2.0
96.0,26.0,11.0,47.0,4.0,2.0
93.0,25.0,37.0,52.0,6.0,2.0
81.0,24.0,16.0,37.0,4.0,2.0
46.0,15.0,14.0,36.0,8.0,3.0
62.0,23.0,21.0,35.0,9.0,3.0
57.0,24.0,11.0,54.0,8.0,2.0
37.0,22.0,17.0,50.0,7.0,3.0
75.0,23.0,17.0,64.0,10.0,2.0
80.0,32.0,20.0,75.0,11.0,2.0
62.0,30.0,6.0,46.0,6.0,2.0
71.0,32.0,5.0,44.0,7.0,2.0
84.0,31.0,13.0,49.0,10.0,2.0
72.0,32.0,17.0,64.0,10.0,2.0
79.0,31.0,15.0,45.0,9.0,2.0
74.0,33.0,11.0,48.0,10.0,2.0
57.0,31.0,7.0,57.0,7.0,2.0
55.0,31.0,6.0,64.0,6.0,2.0
84.0,33.0,14.0,56.0,10.0,2.0
70.0,33.0,6.0,59.0,7.0,2.0
74.0,33.0,11.0,66.0,8.0,2.0
69.0,33.0,8.0,83.0,8.0,2.0
63.0,16.0,16.0,134.0,8.0,1.0
77.0,18.0,24.0,92.0,11.0,2.0
69.0,17.0,19.0,90.0,8.0,2.0
54.0,18.0,12.0,91.0,8.0,2.0
64.0,19.0,14.0,84.0,6.0,2.0
63.0,21.0,15.0,108.0,6.0,1.0
58.0,19.0,11.0,119.0,5.0,1.0
61.0,17.0,14.0,79.0,5.0,2.0
50.0,15.0,11.0,82.0,5.0,2.0
55.0,18.0,18.0,76.0,7.0,2.0
55.0,20.0,11.0,78.0,7.0,2.0
62.0,17.0,32.0,68.0,11.0,2.0
54.0,16.0,16.0,58.0,7.0,2.0
41.0,16.0,17.0,68.0,11.0,2.0
57.0,16.0,23.0,59.0,11.0,2.0
51.0,17.0,17.0,65.0,5.0,2.0
46.0,16.0,11.0,67.0,4.0,2.0
57.0,17.0,18.0,99.0,7.0,2.0
64.0,17.0,29.0,66.0,10.0,2.0
53.0,18.0,12.0,55.0,6.0,2.0
34.0,18.0,5.0,58.0,4.0,2.0
53.0,20.0,12.0,63.0,5.0,2.0
64.0,19.0,27.0,88.0,8.0,2.0
61.0,18.0,17.0,68.0,6.0,2.0
58.0,20.0,13.0,75.0,6.0,2.0
51.0,20.0,9.0,100.0,4.0,2.0
51.0,19.0,8.0,80.0,4.0,2.0
57.0,18.0,15.0,67.0,9.0,2.0
54.0,19.0,12.0,71.0,6.0,2.0
55.0,21.0,14.0,79.0,6.0,2.0
57.0,20.0,12.0,134.0,7.0,1.0
63.0,20.0,6.0,60.0,11.0,2.0
57.0,18.0,6.0,81.0,13.0,2.0
58.0,18.0,8.0,65.0,13.0,2.0
48.0,19.0,5.0,44.0,9.0,2.0
50.0,17.0,5.0,88.0,12.0,2.0
59.0,17.0,7.0,84.0,12.0,2.0
38.0,23.0,6.0,64.0,12.0,2.0
58.0,22.0,5.0,47.0,12.0,2.0
56.0,22.0,4.0,39.0,9.0,2.0
56.0,18.0,6.0,78.0,13.0,2.0
68.0,18.0,7.0,70.0,22.0,2.0
59.0,18.0,7.0,99.0,18.0,2.0
60.0,18.0,7.0,86.0,11.0,2.0
57.0,18.0,6.0,58.0,11.0,2.0
55.0,16.0,6.0,69.0,12.0,2.0
57.0,16.0,7.0,59.0,14.0,2.0
45.0,18.0,4.0,49.0,10.0,2.0
52.0,19.0,4.0,42.0,10.0,2.0
60.0,22.0,5.0,68.0,11.0,2.0
44.0,19.0,3.0,35.0,6.0,2.0
46.0,18.0,8.0,64.0,9.0,2.0
37.0,15.0,6.0,82.0,11.0,2.0
54.0,20.0,7.0,78.0,12.0,2.0
57.0,17.0,6.0,82.0,14.0,2.0
62.0,19.0,6.0,65.0,11.0,2.0
69.0,19.0,10.0,91.0,14.0,1.0
61.0,17.0,11.0,77.0,13.0,2.0
42.0,16.0,5.0,70.0,10.0,2.0
52.0,19.0,6.0,66.0,11.0,2.0
55.0,19.0,6.0,47.0,11.0,2.0
69.0,25.0,8.0,70.0,13.0,2.0
72.0,21.0,10.0,122.0,11.0,1.0
80.0,21.0,12.0,94.0,12.0,2.0
56.0,21.0,6.0,51.0,9.0,2.0
54.0,22.0,6.0,118.0,7.0,1.0
67.0,21.0,12.0,121.0,11.0,1.0
69.0,26.0,8.0,84.0,13.0,1.0
64.0,25.0,6.0,59.0,11.0,2.0
62.0,23.0,7.0,55.0,10.0,2.0
56.0,21.0,6.0,95.0,7.0,2.0
69.0,22.0,10.0,104.0,9.0,1.0
60.0,20.0,7.0,132.0,8.0,1.0
66.0,20.0,7.0,130.0,6.0,1.0
72.0,26.0,7.0,89.0,11.0,1.0
57.0,36.0,7.0,74.0,13.0,2.0
63.0,25.0,12.0,70.0,15.0,2.0
56.0,29.0,6.0,57.0,15.0,2.0
61.0,23.0,6.0,57.0,11.0,2.0
69.0,42.0,8.0,66.0,13.0,2.0
53.0,20.0,5.0,41.0,5.0,2.0
48.0,23.0,16.0,84.0,10.0,2.0
36.0,19.0,10.0,83.0,14.0,2.0
72.0,33.0,15.0,84.0,14.0,1.0
56.0,20.0,11.0,106.0,11.0,1.0
63.0,21.0,10.0,82.0,11.0,2.0
64.0,23.0,12.0,99.0,13.0,2.0
57.0,20.0,12.0,93.0,13.0,2.0
55.0,26.0,9.0,79.0,12.0,2.0
57.0,31.0,9.0,63.0,11.0,2.0
53.0,26.0,10.0,59.0,6.0,2.0
57.0,26.0,13.0,65.0,12.0,2.0
54.0,25.0,14.0,75.0,6.0,2.0
56.0,25.0,16.0,54.0,6.0,2.0
54.0,25.0,16.0,121.0,6.0,1.0
51.0,25.0,17.0,108.0,7.0,1.0
61.0,27.0,19.0,78.0,8.0,1.0
53.0,28.0,13.0,61.0,7.0,2.0
54.0,28.0,11.0,62.0,9.0,2.0
45.0,26.0,9.0,70.0,6.0,2.0
59.0,27.0,20.0,89.0,8.0,1.0
56.0,25.0,13.0,98.0,7.0,1.0
54.0,25.0,13.0,98.0,6.0,2.0
54.0,26.0,14.0,83.0,9.0,2.0
52.0,24.0,16.0,80.0,7.0,2.0
45.0,26.0,17.0,84.0,5.0,2.0
43.0,25.0,12.0,83.0,9.0,2.0
56.0,26.0,17.0,70.0,8.0,2.0
56.0,26.0,16.0,65.0,6.0,2.0
56.0,26.0,16.0,48.0,6.0,2.0
36.0,27.0,22.0,75.0,5.0,2.0
33.0,26.0,15.0,60.0,5.0,2.0
37.0,28.0,17.0,125.0,9.0,1.0
51.0,29.0,16.0,128.0,8.0,1.0
52.0,30.0,17.0,114.0,7.0,1.0
60.0,30.0,18.0,85.0,6.0,1.0
58.0,31.0,19.0,86.0,9.0,2.0
36.0,31.0,15.0,68.0,6.0,2.0
42.0,34.0,13.0,92.0,5.0,2.0
50.0,34.0,12.0,82.0,5.0,2.0
71.0,33.0,10.0,55.0,9.0,2.0
71.0,34.0,9.0,91.0,8.0,2.0
77.0,32.0,10.0,83.0,9.0,2.0
66.0,32.0,6.0,43.0,6.0,2.0
70.0,32.0,8.0,82.0,6.0,2.0
75.0,35.0,10.0,94.0,8.0,2.0
72.0,35.0,12.0,65.0,7.554566173145082,2.0
78.0,35.0,9.0,51.0,8.0,2.0
82.0,36.0,6.0,60.0,7.0,2.0
77.0,33.0,4.0,86.0,6.0,2.0
89.0,34.0,13.0,82.0,11.0,2.0
67.0,33.0,7.0,87.0,6.0,2.0
72.0,34.0,8.0,89.0,5.0,2.0
69.0,37.0,6.0,70.0,7.0,2.0
53.0,33.0,9.0,76.0,10.0,2.0
67.0,33.0,9.0,94.0,7.0,2.0
65.0,36.0,8.0,84.0,9.0,2.0
70.0,34.0,7.0,57.0,6.0,2.0
88.0,34.0,8.0,63.0,6.0,2.0
73.0,36.0,5.0,35.0,5.0,2.0
65.0,33.0,18.0,77.0,8.0,2.0
62.0,33.0,8.0,58.0,7.0,2.0
73.0,33.0,15.0,84.0,10.0,2.0
74.0,37.0,11.0,80.0,8.0,2.0
73.0,35.0,16.0,92.0,7.0,2.0
70.0,36.0,17.0,74.0,11.0,2.0
74.0,37.0,6.0,63.0,8.0,2.0
68.0,38.0,6.0,97.0,10.0,2.0
60.0,20.0,12.0,88.0,6.0,2.0
56.0,19.0,12.0,92.0,10.0,2.0
57.0,20.0,14.0,90.0,7.0,2.0
58.0,18.0,13.0,56.0,5.0,2.0
58.0,18.0,11.0,123.0,5.0,1.0
58.0,19.0,14.0,140.0,7.0,1.0
62.0,25.0,9.0,113.0,5.0,1.0
53.0,20.0,9.0,78.0,5.0,2.0
53.0,22.0,9.0,65.0,5.0,2.0
57.0,18.0,10.0,141.0,4.0,1.0
64.0,18.0,20.0,109.0,8.0,1.0
62.0,18.0,12.0,128.0,6.0,1.0
55.0,19.0,9.0,109.0,4.0,1.0
53.0,20.0,9.0,85.0,5.0,2.0
46.0,19.0,11.0,99.0,6.0,2.0
50.0,18.0,12.0,117.0,8.0,1.0
43.0,20.0,7.0,86.0,4.0,2.0
60.0,19.0,16.0,60.0,8.0,2.0
54.0,21.0,10.0,96.0,5.0,2.0
39.0,21.0,6.0,38.0,6.0,3.0
42.0,19.0,18.0,91.0,4.0,2.0
36.0,17.0,10.0,84.0,8.0,2.0
54.0,21.0,22.0,162.0,7.0,1.0
55.0,20.0,12.0,111.0,7.0,1.0
65.0,23.0,16.0,108.0,8.0,1.0
66.0,20.0,18.0,118.0,8.0,1.0
61.0,19.0,17.0,98.0,8.0,2.0
41.0,19.0,9.0,97.0,5.0,2.0
53.0,21.0,13.0,94.0,6.0,2.0
54.0,21.0,14.0,78.0,7.0,2.0
50.0,19.0,4.0,50.0,10.0,2.0
53.0,22.0,6.0,69.0,12.0,2.0
50.0,17.0,9.0,71.0,14.0,2.0
53.0,18.0,8.0,75.0,16.0,2.0
40.0,16.0,5.0,95.0,10.0,2.0
42.0,17.0,5.0,70.0,11.0,2.0
52.0,20.0,5.0,68.0,13.0,2.0
46.0,20.0,5.0,83.0,11.0,2.0
60.0,18.0,7.0,87.0,14.0,2.0
53.0,17.0,7.0,60.0,11.0,2.0
44.0,18.0,6.0,74.0,11.0,2.0
57.0,19.0,7.0,86.0,16.0,2.0
61.0,21.0,9.0,75.0,11.0,2.0
63.0,18.0,8.0,63.0,20.0,2.0
60.0,20.0,7.0,70.0,17.0,2.0
56.0,19.0,7.0,76.0,20.0,2.0
51.0,17.0,9.0,61.0,22.0,2.0
50.0,16.0,7.0,51.0,14.0,2.0
54.0,16.0,7.0,60.0,11.0,2.0
54.0,18.0,11.0,43.0,15.0,2.0
57.0,18.0,11.0,71.0,15.0,2.0
48.0,17.0,10.0,44.0,13.0,2.0
26.0,15.0,3.0,23.0,7.0,3.0
47.0,23.0,6.0,61.0,11.0,2.0
39.0,17.0,7.0,48.0,11.0,2.0
41.0,18.0,8.0,77.0,20.0,2.0
40.0,16.0,9.0,77.0,15.0,2.0
55.0,18.0,18.0,60.0,16.0,2.0
51.0,17.0,7.0,40.0,14.0,2.0
52.0,18.0,5.0,35.0,9.0,2.0
35.0,20.0,3.0,48.0,8.0,2.0
59.0,22.0,6.0,62.0,10.0,2.0
64.0,25.0,8.0,79.0,11.0,2.0
55.0,29.0,15.0,89.0,16.0,2.0
59.0,22.0,12.0,95.0,9.0,2.0
44.0,22.0,7.0,128.0,8.0,1.0
51.0,21.0,6.0,110.0,8.0,1.0
57.0,30.0,9.0,92.0,12.0,2.0
55.0,23.0,7.0,109.0,11.0,1.0
55.0,21.0,6.0,82.0,9.0,2.0
50.0,21.0,10.0,63.0,9.0,2.0
51.0,20.0,8.0,95.0,7.0,2.0
57.0,22.0,11.0,116.0,8.0,1.0
63.0,24.0,14.0,94.0,13.0,2.0
65.0,21.0,12.0,88.0,12.0,2.0
62.0,23.0,9.0,95.0,13.0,2.0
61.0,24.0,10.0,110.0,16.0,1.0
64.0,25.0,17.0,99.0,18.0,2.0
60.0,23.0,12.0,71.0,14.0,2.0
62.0,22.0,13.0,71.0,12.0,2.0
63.0,24.0,13.0,68.0,14.0,2.0
53.0,23.0,12.0,68.0,14.0,2.0
26.0,19.0,5.0,43.0,5.0,3.0
56.0,25.0,10.0,97.0,12.0,2.0
46.0,22.0,10.0,83.0,12.0,2.0
53.0,23.0,11.0,99.0,10.0,2.0
52.0,22.0,14.0,98.0,23.0,2.0
66.0,27.0,18.0,82.0,16.0,2.0
57.0,26.0,13.0,60.0,16.0,2.0
59.0,23.0,8.0,58.0,11.0,2.0
44.0,29.0,6.0,67.0,10.0,2.0
52.0,32.0,15.0,62.0,9.0,2.0
52.0,35.0,16.0,74.0,7.0,2.0
40.0,32.0,17.0,73.0,7.0,2.0
43.0,33.0,19.0,91.0,6.0,2.0
26.0,32.0,11.0,72.0,4.0,2.0
33.0,34.0,8.0,76.0,4.0,2.0
36.0,33.0,12.0,89.0,10.0,2.0
36.0,35.0,11.0,107.0,7.0,1.0
47.0,32.0,14.0,88.0,9.0,2.0
38.0,32.0,21.0,72.0,8.0,2.0
29.0,32.0,15.0,87.0,5.0,2.0
43.0,34.0,20.0,62.0,7.0,2.0
52.0,35.0,30.0,92.0,15.0,1.0
56.0,34.0,25.0,94.0,12.0,2.0
62.0,35.0,19.0,97.0,6.0,1.0
55.0,35.0,16.0,83.0,6.0,2.0
46.0,34.0,17.0,86.0,9.0,2.0
45.0,36.0,16.0,67.0,12.0,2.0
43.0,35.0,13.0,57.0,6.0,2.0
46.0,37.0,17.0,63.0,11.0,2.0
44.0,35.0,15.0,99.0,11.0,2.0
46.0,37.0,24.0,50.0,10.0,2.0
39.0,37.0,10.0,32.0,5.0,2.0
39.0,38.0,10.0,100.0,5.0,2.0
36.0,39.0,13.0,73.0,11.0,2.0
41.0,41.0,14.0,61.0,10.0,2.0
32.0,37.0,21.0,44.0,8.0,2.0
45.0,39.0,29.0,66.0,13.0,2.0
36.0,38.0,16.0,54.0,7.0,2.0
50.0,40.0,21.0,44.0,9.0,3.0
29.0,6.0,10.0,62.0,63.0,2.0
73.0,8.0,64.0,11.0,73.0,2.0
83.0,16.0,62.0,7.0,83.0,2.0
74.0,13.0,80.0,11.0,80.0,2.0
79.0,11.0,92.0,8.0,92.0,2.0
62.0,4.0,95.0,5.0,95.0,2.0
64.0,6.0,103.0,8.0,103.0,1.0
77.0,7.0,92.0,11.0,92.0,2.0
68.0,6.0,92.0,7.0,92.0,2.0
74.0,7.0,75.0,6.0,75.0,2.0
70.0,11.0,71.0,10.0,71.0,2.0
69.0,7.0,65.0,7.0,69.0,2.0
72.0,21.0,75.0,7.0,75.0,2.0
81.0,23.0,69.0,13.0,81.0,2.0
79.0,9.0,69.0,8.0,79.0,2.0
68.0,6.0,79.0,9.0,79.0,2.0
70.0,15.0,54.0,11.0,70.0,2.0
59.0,11.0,62.0,7.0,62.0,2.0
64.0,11.0,74.0,8.0,74.0,2.0
63.0,26.0,62.0,9.0,63.0,2.0
57.0,15.0,104.0,9.0,104.0,1.0
53.0,15.0,44.0,8.0,53.0,2.0
34.0,7.0,48.0,5.0,48.0,3.0
51.0,14.0,80.0,7.0,80.0,2.0
52.0,11.0,68.0,7.0,68.0,2.0
57.0,17.0,87.0,8.0,87.0,2.0
46.0,18.0,61.0,9.0,61.0,2.0
63.0,26.0,107.0,8.0,107.0,1.0
54.0,11.0,88.0,10.0,88.0,2.0
63.0,12.0,42.0,7.0,63.0,2.0
45.0,6.0,63.0,6.0,63.0,2.0
53.0,13.0,73.0,7.0,73.0,2.0
56.0,15.0,87.0,7.0,87.0,2.0
50.0,15.0,80.0,7.0,80.0,2.0
54.0,17.0,108.0,6.0,108.0,1.0
30.0,6.0,109.0,4.0,109.0,1.0
40.0,6.0,91.0,3.0,91.0,2.0
41.0,8.0,127.0,5.0,127.0,1.0
38.0,8.0,117.0,5.0,117.0,1.0
46.0,9.0,105.0,5.0,105.0,1.0
54.0,14.0,80.0,8.0,80.0,2.0
42.0,12.0,91.0,7.0,91.0,2.0
58.0,15.0,135.0,5.0,135.0,1.0
59.0,15.0,130.0,11.0,130.0,1.0
65.0,22.0,115.0,10.0,115.0,1.0
59.0,12.0,98.0,10.0,98.0,2.0
54.0,11.0,134.0,5.0,134.0,1.0
50.0,20.0,99.0,9.0,99.0,2.0
49.0,13.0,67.0,6.0,67.0,2.0
52.0,13.0,76.0,6.0,76.0,2.0
56.0,22.0,77.0,9.0,77.0,2.0
52.0,14.0,86.0,8.0,86.0,2.0
44.0,19.0,57.0,8.0,57.0,2.0
24.0,6.0,26.0,3.0,26.0,3.0
44.0,13.0,83.0,5.0,83.0,2.0
40.0,13.0,61.0,8.0,61.0,2.0
43.0,11.0,123.0,8.0,123.0,1.0
32.0,17.0,79.0,8.0,79.0,2.0
52.0,38.0,117.0,12.0,117.0,1.0
45.0,14.0,70.0,9.0,70.0,2.0
53.0,19.0,49.0,7.0,53.0,2.0
34.0,8.0,79.0,5.0,79.0,2.0
49.0,67.0,18.0,10.0,40.0,2.0
23.0,27.0,15.0,3.0,32.0,3.0
43.0,64.0,19.0,6.0,53.0,2.0
42.0,62.0,20.0,5.0,59.0,2.0
51.0,70.0,17.0,11.0,50.0,2.0
79.0,106.0,23.0,13.0,49.0,1.0
61.0,85.0,19.0,14.0,45.0,2.0
60.0,85.0,16.0,17.0,57.0,2.0
62.0,95.0,20.0,13.0,57.0,2.0
62.0,92.0,18.0,8.0,53.0,2.0
61.0,97.0,20.0,10.0,62.0,2.0
53.0,80.0,20.0,6.0,49.0,2.0
53.0,68.0,20.0,5.0,34.0,2.0
54.0,78.0,20.0,7.0,79.0,2.0
52.0,73.0,21.0,6.0,41.0,2.0
51.0,70.0,20.0,5.0,42.0,2.0
57.0,84.0,18.0,7.0,60.0,2.0
57.0,79.0,18.0,9.0,71.0,2.0
58.0,84.0,18.0,13.0,64.0,2.0
53.0,68.0,20.0,5.0,34.0,2.0
54.0,82.0,18.0,15.0,48.0,2.0
51.0,69.0,18.0,15.0,45.0,2.0
62.0,93.0,20.0,11.0,51.0,2.0
44.0,56.0,19.0,8.0,53.0,2.0
39.0,63.0,19.0,8.0,48.0,2.0
47.0,69.0,21.0,9.0,55.0,2.0
44.0,59.0,20.0,8.0,41.0,2.0
46.0,66.0,18.0,7.0,65.0,2.0
37.0,56.0,17.0,7.0,24.0,2.0
18.0,21.0,16.0,4.0,27.0,3.0
56.0,76.0,23.0,14.0,59.0,2.0
22.0,37.0,19.0,6.0,63.0,2.0
54.0,77.0,23.0,12.0,84.0,2.0
51.0,72.0,24.0,9.0,76.0,2.0
55.0,78.0,21.0,16.0,67.0,2.0
74.0,101.0,21.0,13.0,67.0,1.0
65.0,87.0,23.0,17.0,65.0,2.0
66.0,90.0,27.0,24.0,57.0,2.0
72.0,103.0,30.0,24.0,64.0,1.0
67.0,94.0,24.0,10.0,70.0,2.0
69.0,100.0,31.0,13.0,99.0,2.0
59.0,77.0,22.0,8.0,61.0,2.0
56.0,71.0,22.0,5.0,58.0,2.0
59.0,81.0,20.0,9.0,85.0,2.0
55.0,73.0,25.0,9.0,65.0,2.0
57.0,77.0,22.0,6.0,57.0,2.0
58.0,81.0,21.0,12.0,73.0,2.0
58.0,77.0,22.0,14.0,92.0,2.0
64.0,85.0,22.0,18.0,98.0,2.0
57.0,71.0,21.0,5.0,65.0,2.0
55.0,77.0,23.0,23.0,63.0,2.0
59.0,83.0,26.0,24.0,74.0,2.0
65.0,90.0,24.0,15.0,59.0,2.0
43.0,55.0,21.0,10.0,76.0,2.0
46.0,63.0,21.0,12.0,80.0,2.0
58.0,74.0,26.0,16.0,104.0,1.0
49.0,61.0,21.0,8.0,56.0,2.0
54.0,78.0,26.0,10.0,148.0,1.0
48.0,56.0,23.0,7.0,50.0,2.0
19.0,29.0,20.0,5.0,42.0,3.0
37.0,82.0,38.0,32.0,58.0,2.0
19.0,41.0,38.0,13.0,26.0,3.0
36.0,63.0,41.0,12.0,65.0,2.0
50.0,81.0,43.0,18.0,87.0,2.0
49.0,75.0,41.0,16.0,68.0,2.0
74.0,112.0,44.0,33.0,60.0,1.0
55.0,88.0,42.0,21.0,67.0,2.0
50.0,88.0,40.0,25.0,60.0,2.0
63.0,107.0,43.0,31.0,74.0,1.0
60.0,104.0,43.0,21.0,79.0,1.0
50.0,86.0,43.0,21.0,94.0,2.0
46.0,73.0,44.0,11.0,83.0,2.0
52.0,74.0,44.0,13.0,53.0,2.0
52.0,91.0,46.0,15.0,88.0,2.0
45.0,68.0,44.0,10.0,56.0,2.0
53.0,87.0,48.0,14.0,43.0,2.0
54.0,99.0,44.0,20.0,107.0,1.0
25.0,89.0,53.0,14.0,74.0,2.0
25.0,98.0,43.0,34.0,81.0,2.0
49.0,85.0,46.0,16.0,48.0,2.0
36.0,81.0,44.0,26.0,56.0,2.0
70.0,72.0,42.0,30.0,43.0,2.0
56.0,102.0,46.0,17.0,64.0,1.0
68.0,95.0,44.0,15.0,59.0,2.0
55.0,74.0,43.0,15.0,32.0,2.0
55.0,76.0,45.0,14.0,40.0,2.0
51.0,71.0,43.0,8.0,44.0,2.0
51.0,66.0,44.0,8.0,40.0,2.0
37.0,17.0,43.0,8.0,22.0,3.0
28.0,16.0,42.0,6.0,14.0,3.0
53.0,38.0,16.0,55.0,10.0,2.0
49.0,36.0,8.0,38.0,5.0,3.0
46.0,38.0,14.0,69.0,7.0,2.0
54.0,39.0,12.0,79.0,7.0,2.0
51.0,38.0,13.0,64.0,10.0,2.0
80.0,41.0,22.0,62.0,11.0,2.0
64.0,41.0,19.0,61.0,9.0,2.0
67.0,40.0,30.0,55.0,10.0,2.0
68.0,41.0,24.0,80.0,11.0,2.0
82.0,41.0,15.0,68.0,8.0,2.0
79.0,41.0,13.0,75.0,10.0,2.0
61.0,41.0,6.0,57.0,7.0,2.0
57.0,42.0,5.0,42.0,7.0,2.0
67.0,43.0,10.0,81.0,7.0,2.0
59.0,44.0,7.0,50.0,6.0,2.0
64.0,41.0,9.0,47.0,5.0,2.0
60.0,42.0,14.0,88.0,9.0,2.0
59.0,42.0,15.0,69.0,11.0,2.0
77.0,42.0,26.0,74.0,12.0,2.0
